Wall time,Step,Value
1495413845.028877,362599,-0.09000000357627869
1495413846.173204,362799,-0.3400000035762787
1495413848.040015,363099,0.6899999976158142
1495413849.916368,363399,0.5400000214576721
1495413855.195306,364299,1.0
1495413858.820331,364899,-0.5899999737739563
1495413860.041633,365099,-0.41999998688697815
1495413866.731681,366199,-0.4099999964237213
1495413867.31936,366299,-0.20000000298023224
1495413871.103705,366899,-0.4699999988079071
1495413875.159127,367599,0.7200000286102295
1495413889.425117,369999,-0.4300000071525574
1495413891.199109,370299,0.6700000166893005
1495413893.265963,370599,-0.4000000059604645
1495413894.436684,370799,-0.3700000047683716
1495413907.333203,372899,-0.36000001430511475
1495413909.130938,373199,-0.46000000834465027
1495413912.060155,373599,-0.33000001311302185
1495413912.717383,373699,0.8100000023841858
1495413913.307604,373799,-0.5099999904632568
1495413916.938431,374399,-0.2800000011920929
1495413918.829065,374699,-0.18000000715255737
1495413920.090001,374899,-0.6399999856948853
1495413926.125412,375799,-0.3499999940395355
1495413929.210181,376199,0.7599999904632568
1495413931.082285,376499,0.7300000190734863
1495413934.099752,376999,-0.44999998807907104
1495413938.939962,377799,-0.09000000357627869
1495413941.25874,378199,-0.5400000214576721
1495413942.505535,378399,0.8500000238418579
1495413943.693088,378599,-0.44999998807907104
1495413951.471341,379899,-0.41999998688697815
1495413952.671978,380099,-0.009999999776482582
1495413954.506681,380399,-0.3799999952316284
1495413961.670741,381599,0.4399999976158142
1495413964.03656,381999,-0.14000000059604645
1495413967.062476,382499,-0.41999998688697815
1495413968.508017,382699,-0.36000001430511475
1495413975.24181,383699,0.6000000238418579
1495413976.431027,383899,-0.4699999988079071
1495413977.629365,384099,-0.6000000238418579
1495413985.855934,385399,0.5400000214576721
1495413989.299214,385999,-0.2800000011920929
1495413995.682906,386999,-0.4300000071525574
1495413999.294367,387499,-0.3499999940395355
1495414003.537775,388199,-0.23999999463558197
1495414005.345018,388499,-0.3700000047683716
1495414006.562894,388699,-0.46000000834465027
1495414018.617667,390699,-0.3700000047683716
1495414019.248854,390799,-0.3100000023841858
1495414019.835453,390899,-0.49000000953674316
1495414022.908678,391399,-0.28999999165534973
1495414024.246532,391599,-0.699999988079071
1495414028.311468,392199,-0.5699999928474426
1495414030.790102,392599,-0.41999998688697815
1495414035.398767,393399,-0.47999998927116394
1495414035.966636,393499,-0.36000001430511475
1495414038.841948,393999,0.7300000190734863
1495414039.406986,394099,-0.23999999463558197
1495414041.733098,394499,-0.46000000834465027
1495414048.217488,395599,-0.019999999552965164
1495414051.665756,396199,1.0
1495414055.183123,396799,-0.5799999833106995
1495414056.892327,397099,-0.46000000834465027
1495414063.246494,398199,0.6000000238418579
1495414065.518737,398599,-0.4099999964237213
1495414067.787148,398999,-0.20000000298023224
1495414071.777384,399699,-0.49000000953674316
1495414074.065777,400099,-0.4699999988079071
